연도,상/하반기,재공급/신규공급,평수,주택명,주소지,자치구,지역등급,교통등급,모집규모밀도,당첨자순위,당첨자 가점,모집규모밀도_건수
2021,상,재공급,-,백년빌,강남구 개포로24길 13,강남구,A,13분,0.000184211,1순위,5점,28
2021,상,신규공급,23B(개방형),강동서영스윗홈,강동구 천중로48길 9-13,강동구,C,5분,0.001442597,1순위,7점,144
2021,상,신규공급,35A(분리형),강동서영스윗홈,강동구 천중로48길 9-13,강동구,C,5분,0.001442597,1순위,7점,144
2021,상,재공급,-,수유동 569-17,"강북구 삼양로131길 68, 수유동 569-17",강북구,C,5분,0.000848101,1순위,5점,67
2021,상,재공급,-,자양에스하임4,광진구 뚝섬로49길 60,광진구,B,8분,0.000429825,1순위,8점,49
2021,상,재공급,-,자양에스하임11,광진구 아차산로46가길 10-3,광진구,B,6분,0.000429825,1순위,9점,49
2021,상,신규공급,29B(개방형),대정이오스,구로구 오리로13길 50,구로구,C,9분,0.00106087,2순위,6점,122
2021,상,신규공급,43A(분리형),대정이오스,구로구 오리로13길 50,구로구,C,9분,0.00106087,1순위,7점,122
2021,상,신규공급,-,아임빌 7차,금천구 독산로20길 13,금천구,C,25분,0.001,2순위,6점,78
2021,상,신규공급,-,,"금천구 범안로12길 50, 제1동",금천구,C,4분,0.001,1순위,4점,78
2021,상,신규공급,-,,"금천구 범안로12길 50, 제2동",금천구,C,4분,0.001,1순위,4점,78
2021,상,재공급,-,시흥동 849-32,"금천구 독산로33길 32, B단지, 시흥동 849-32",금천구,C,12분,0.001,-,-,78
2021,상,재공급,29A(분리형),휴먼에코빌 4차,"금천구 독산로96길 27-6, B동",금천구,C,22분,0.001,1순위,7점,78
2021,상,재공급,40C(투룸),휴먼에코빌 4차,"금천구 독산로96길 27-6, B동",금천구,C,22분,0.001,1순위,8점,78
2021,상,신규공급,-,씨앤제이빌,도봉구 도당로9길 15-3,도봉구,B,21분,0.000166667,1순위,7점,13
2021,상,재공급,-,제기홈,동대문구 경동시장로9가길 21,동대문구,B,6분,0.000284404,-,-,31
2021,상,재공급,-,삼화에코빌2차,"동대문구 답십리로 65길 114, A동",동대문구,B,29분,0.000284404,1순위,7점,31
2021,상,재공급,-,진흥하임시티,마포구 성미산로 21,마포구,A,4분,0.000226115,1순위,11점,28
2021,상,재공급,-,대명파크뷰,마포구 포은로 91,마포구,A,6분,0.000226115,1순위,9점,28
2021,상,재공급,-,주영테크빌,서대문구 증가로12가길 68,서대문구,B,11분,0.000381443,1순위,2점,37
2021,상,재공급,-,다움파크빌,서대문구 증가로24가길 11,서대문구,B,9분,0.000381443,1순위,7점,37
2021,상,재공급,-,홍은동 411-5,서대문구 증가로8길 68-24,서대문구,B,30분,0.000381443,1순위,5점,37
2021,상,재공급,-,르비앙휴,서대문구 증가로8길 76-6,서대문구,B,31분,0.000381443,1순위,5점,37
2021,상,재공급,-,르비앙휴,서대문구 포방터2다길 7,서대문구,B,24분,0.000381443,2순위,5점,37
2021,상,재공급,-,현인그린빌,서대문구 홍은중앙로8길 9,서대문구,B,21분,0.000381443,1순위,3점,37
2021,상,신규공급,29B(개방형),반포삼이하우스,서초구 주흥6길 33,서초구,A,6분,0.000342105,1순위,8점,39
2021,상,신규공급,34A(분리형),반포삼이하우스,서초구 주흥6길 33,서초구,A,6분,0.000342105,1순위,8점,39
2021,상,신규공급,29B(개방형),동우빌라트서초,서초구 효령로46길 32-5,서초구,A,10분,0.000342105,1순위,5점,39
2021,상,신규공급,35A(분리형),동우빌라트서초,서초구 효령로46길 32-5,서초구,A,10분,0.000342105,1순위,8점,39
2021,상,재공급,-,백년빌,서초구 논현로5길 24-10,서초구,A,12분,0.000342105,1순위,2점,39
2021,상,재공급,-,드림빌2차,성북구 서경로13길 33,성북구,A,8분,0.000327273,1순위,7점,45
2021,상,재공급,-,광진홈,성북구 솔샘로6가길 42,성북구,A,3분,0.000327273,1순위,10점,45
2021,하,재공급,,백년빌,"서울특별시 강남구 개포로24길 13, 개포동 1216-7",강남구,A,13분,0.000184211,1순위,5점,28
2021,하,신규공급,26B,백년빌,"서울특별시 강남구 논현로57길 39, 도곡동 547-2",강남구,A,10분,0.000184211,1순위,4점,28
2021,하,신규공급,33A,백년빌,"서울특별시 강남구 논현로57길 39, 도곡동 547-2",강남구,A,10분,0.000184211,1순위,8점,28
2021,하,신규공급,,백년빌,"서울특별시 강남구 도곡로18길 10, 도곡동 547-11",강남구,A,10분,0.000184211,1순위,3점,28
2021,하,신규공급,27B,와이디하우스,"서울특별시 강동구 구천면로35길 27, 천호동 391-21,26",강동구,C,10분,0.001442597,2순위,4점,144
2021,하,신규공급,38A,와이디하우스,"서울특별시 강동구 구천면로35길 27, 천호동 391-21,26",강동구,C,10분,0.001442597,2순위,5점,144
2021,하,재공급,,해담빌,"서울특별시 강동구 구천면로40길 7, 천호동 237-27",강동구,C,10분,0.001442597,2순위,5점,144
2021,하,신규공급,27B,신우휴먼빌암사2차,"서울특별시 강동구 암사길 83-13, 암사동 433-85,88",강동구,C,13분,0.001442597,2순위,4점,144
2021,하,신규공급,35A,신우휴먼빌암사2차,"서울특별시 강동구 암사길 83-13, 암사동 433-85,88",강동구,C,13분,0.001442597,2순위,5점,144
2021,하,신규공급,45A,신우휴먼빌암사2차,"서울특별시 강동구 암사길 83-13, 암사동 433-85,88",강동구,C,13분,0.001442597,1순위,0점,144
2021,하,신규공급,21B,강동서영스윗홈6,"서울특별시 강동구 양재대로91길 82, 성내동 420-49",강동구,C,6분,0.001442597,2순위,5점,144
2021,하,신규공급,27B,강동서영스윗홈6,"서울특별시 강동구 양재대로91길 82, 성내동 420-49",강동구,C,6분,0.001442597,2순위,7점,144
2021,하,신규공급,35A,강동서영스윗홈6,"서울특별시 강동구 양재대로91길 82, 성내동 420-49",강동구,C,6분,0.001442597,1순위,5점,144
2021,하,신규공급,22B,강동서영스윗홈5,"서울특별시 강동구 양재대로91길 84, 성내동 420-4",강동구,C,6분,0.001442597,2순위,4점,144
2021,하,신규공급,27B,강동서영스윗홈5,"서울특별시 강동구 양재대로91길 84, 성내동 420-4",강동구,C,6분,0.001442597,2순위,8점,144
2021,하,신규공급,26A,은슬림7,"서울특별시 강동구 진황도로23길 20-1, 천호동 541-2,3",강동구,C,7분,0.001442597,2순위,8점,144
2021,하,신규공급,26B,은슬림7,"서울특별시 강동구 진황도로23길 20-1, 천호동 541-2,3",강동구,C,7분,0.001442597,2순위,3점,144
2021,하,신규공급,30A,은슬림8,"서울특별시 강동구 진황도로23길 22, 천호동 541외",강동구,C,7분,0.001442597,2순위,5점,144
2021,하,신규공급,35C,은슬림8,"서울특별시 강동구 진황도로23길 22, 천호동 541외",강동구,C,7분,0.001442597,1순위,3점,144
2021,하,재공급,,천호파크빌1,"서울특별시 강동구 천중로18길 10, 천호동 364-6외",강동구,C,9분,0.001442597,2순위,5점,144
2021,하,신규공급,21B,홍원하이빌강북7,"서울특별시 강북구 삼양로119길 22, 수유동 313-6",강북구,C,5분,0.000848101,2순위,2점,67
2021,하,신규공급,27B,홍원하이빌강북7,"서울특별시 강북구 삼양로119길 22, 수유동 313-6",강북구,C,5분,0.000848101,2순위,5점,67
2021,하,신규공급,,홍원하이빌강북6,"서울특별시 강북구 인수봉로82길 26, 수유동 291-59",강북구,C,6분,0.000848101,2순위,2점,67
2021,하,재공급,,현대그린빌,"서울특별시 강서구 공항대로75길 47, 염창동 263-11",강서구,B,3분,8.45E-05,1순위,6점,15
2021,하,재공급,,구의에스하임1,"서울특별시 광진구 광나루로30나길 15, 구의동 638-5,6",광진구,B,10분,0.000429825,1순위,2점,49
2021,하,재공급,,자양에스하임11,"서울특별시 광진구 아차산로46가길 10-3, 자양동 218-9",광진구,B,6분,0.000429825,1순위,10점,49
2021,하,신규공급,28B,모던하우스,"서울특별시 구로구 개봉로15길 36-25, 개봉동 332-32,4",구로구,C,12분,0.00106087,2순위,2점,122
2021,하,신규공급,33A,모던하우스,"서울특별시 구로구 개봉로15길 36-25, 개봉동 332-32,4",구로구,C,12분,0.00106087,2순위,3점,122
2021,하,신규공급,37A,계림웨스트밸리,"서울특별시 구로구 경인로 70, 오류동 360",구로구,C,7분,0.00106087,2순위,8점,122
2021,하,신규공급,49A,계림웨스트밸리,"서울특별시 구로구 경인로 70, 오류동 360",구로구,C,7분,0.00106087,2순위,6점,122
2021,하,신규공급,22B,낙원가우디움,"서울특별시 구로구 고척로27마길 26-11, 고척동 241-157",구로구,C,25분,0.00106087,3순위,5점,122
2021,하,신규공급,28B,낙원가우디움,"서울특별시 구로구 고척로27마길 26-11, 고척동 241-157",구로구,C,25분,0.00106087,2순위,4점,122
2021,하,신규공급,23B,하늘사랑채3차,"서울특별시 구로구 고척로33나길 4, 고척동 253-40,56",구로구,C,19분,0.00106087,2순위,0점,122
2021,하,신규공급,27B,하늘사랑채3차,"서울특별시 구로구 고척로33나길 4, 고척동 253-40,56",구로구,C,19분,0.00106087,2순위,2점,122
2021,하,신규공급,20B,명진하이빌,"서울특별시 구로구 부일로17길 44, 궁동 190-84,85",구로구,C,11분,0.00106087,2순위,2점,122
2021,하,신규공급,24B,명진하이빌,"서울특별시 구로구 부일로17길 44, 궁동 190-84,85",구로구,C,11분,0.00106087,3순위,7점,122
2021,하,신규공급,29B,명진하이빌,"서울특별시 구로구 부일로17길 44, 궁동 190-84,85",구로구,C,11분,0.00106087,2순위,2점,122
2021,하,신규공급,28B,아이빌10차,"서울특별시 금천구 금하로23나길 29, 시흥동 826-38",금천구,C,30분,0.001,2순위,5점,78
2021,하,신규공급,44A,아이빌10차,"서울특별시 금천구 금하로23나길 29, 시흥동 826-38",금천구,C,30분,0.001,1순위,5점,78
2021,하,신규공급,,청춘가옥,"서울특별시 금천구 독산로50길 130-9, 시흥동 3-123",금천구,C,33분,0.001,2순위,3점,78
2021,하,재공급,,휴먼에코빌4차 A동,"서울특별시 금천구 독산로96길 27-6, 독산동 234-22",금천구,C,22분,0.001,1순위,3점,78
2021,하,재공급,,휴먼에코빌4차 B동,"서울특별시 금천구 독산로96길 27-6, 독산동 234-22",금천구,C,22분,0.001,-,-,78
2021,하,신규공급,21B,서전하우스,"서울특별시 금천구 범안로12가길 31-10, 독산동 1006-167",금천구,C,5분,0.001,2순위,4점,78
2021,하,신규공급,28A,서전하우스,"서울특별시 금천구 범안로12가길 31-10, 독산동 1006-167",금천구,C,5분,0.001,1순위,7점,78
2021,하,재공급,,독산로33길 32 B동,서울특별시 금천구 시흥동 849-32,금천구,C,12분,0.001,3순위,3점,78
2021,하,재공급,,월계동참조은원룸,"서울특별시 노원구 초안산로2라길 3-5, 월계동 655-8,9",노원구,A,2분,5.22E-05,1순위,5점,7
2021,하,신규공급,,위드151 B동,"서울특별시 도봉구 도봉로151길 63, 방학동 647-10",도봉구,B,6분,0.000166667,2순위,7점,13
2021,하,재공급,,우이천로42가길 12,서울특별시 도봉구 쌍문동 472-8,도봉구,B,6분,0.000166667,3순위,7점,13
2021,하,재공급,,제기홈,"서울특별시 동대문구 경동시장로9가길 21, 제기동 846-23,24",동대문구,B,9분,0.000284404,1순위,4점,31
2021,하,재공급,,삼화에코빌2차 A동,"서울특별시 동대문구 답십리로65길 114, 장안동 287-7,9",동대문구,B,15분,0.000284404,2순위,8점,31
2021,하,재공급,,더존에이스빌 가동,"서울특별시 동대문구 천호대로89길 51, 장안동 445-3",동대문구,B,7분,0.000284404,1순위,6점,31
2021,하,재공급,,더존에이스빌 나동,"서울특별시 동대문구 천호대로89길 51, 장안동 445-3",동대문구,B,7분,0.000284404,1순위,10점,31
2021,하,재공급,,더스페이스빌,"서울특별시 서대문구 증가로8길 68-24, 홍은동 411-5",서대문구,B,30분,0.000381443,1순위,4점,37
2021,하,재공급,,르비앙휴,"서울특별시 서대문구 증가로8길 76-6, 홍은동 407-24",서대문구,B,31분,0.000381443,-,-,37
2021,하,재공급,,르비앙휴,"서울특별시 서대문구 포방터2다길 7, 홍은동 8-541,542",서대문구,B,25분,0.000381443,1순위,1점,37
2021,하,재공급,,해담빌,"서울특별시 서대문구 홍제내2바길 7, 홍제동 360-40",서대문구,B,9분,0.000381443,1순위,7점,37
2021,하,재공급,,백년빌,"서울특별시 서초구 논현로5길 24-10, 양재동 395-10",서초구,A,12분,0.000342105,1순위,2점,39
2021,하,재공급,,서초파크타운 B동,"서울특별시 서초구 반포대로5길 62, 서초동 1478-16",서초구,A,11분,0.000342105,1순위,7점,39
